p,file,variableVariables,variableCalls,variableMethodCalls,variableNews,variableProperties,variableClassConsts,variableStaticCalls,variableStaticTargets,variableStaticProperties,variableStaticPropertyTargets
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/app/Config/Schema/db_acl.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/app/Config/Schema/i18n.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/app/Config/Schema/sessions.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/app/Config/acl.ini.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/app/Config/acl.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/app/Config/bootstrap.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/app/Config/core.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/app/Config/routes.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/app/Console/Command/AppShell.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/app/Console/cake.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/app/Controller/AppController.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/app/Controller/PagesController.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/app/Model/AppModel.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/app/View/Helper/AppHelper.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/app/index.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/app/webroot/index.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/app/webroot/test.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/index.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Cache/Cache.php,0,0,0,1,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Cache/CacheEngine.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Cache/Engine/ApcEngine.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Cache/Engine/FileEngine.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Cache/Engine/MemcacheEngine.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Cache/Engine/RedisEngine.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Cache/Engine/WincacheEngine.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Cache/Engine/XcacheEngine.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/config.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/routes.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/unicode/casefolding/0080_00ff.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/unicode/casefolding/0100_017f.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/unicode/casefolding/0180_024F.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/unicode/casefolding/0250_02af.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/unicode/casefolding/0370_03ff.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/unicode/casefolding/0400_04ff.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/unicode/casefolding/0500_052f.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/unicode/casefolding/0530_058f.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/unicode/casefolding/1e00_1eff.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/unicode/casefolding/1f00_1fff.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/unicode/casefolding/2100_214f.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/unicode/casefolding/2150_218f.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/unicode/casefolding/2460_24ff.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/unicode/casefolding/2c00_2c5f.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/unicode/casefolding/2c60_2c7f.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/unicode/casefolding/2c80_2cff.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Config/unicode/casefolding/ff00_ffef.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Configure/ConfigReaderInterface.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Configure/IniReader.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Configure/PhpReader.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Console/Command/AclShell.php,0,0,0,0,11,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Console/Command/ApiShell.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Console/Command/AppShell.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Console/Command/BakeShell.php,0,0,0,1,4,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Console/Command/CommandListShell.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Console/Command/ConsoleShell.php,1,0,0,1,4,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Console/Command/I18nShell.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Console/Command/SchemaShell.php,0,0,0,0,0,0,0,0,0,0
