ID,Product,Path,Line,Derivable Names,Assigns Through,Made Global,Uses literal pattern,Uses foreach,Uses switch,Uses conditional,Derivable with annotations,Notes
1,CakePHP,lib/Cake/Console/Command/ConsoleShell.php,350,N,Y,N,,,,,,Unsets variables imported into scope. Non-derivable but local.
2,CakePHP,lib/Cake/Console/Command/Task/ControllerTask.php,231,Y,N,N,,X,,,,Maps var-var to literal keys in array defined directly above. This is a read.
3,CakePHP,lib/Cake/Console/Command/Task/ControllerTask.php,233,Y,N,N,,X,,,,Same as above. This is a read.
4,CakePHP,lib/Cake/Console/Command/Task/ControllerTask.php,234,Y,N,N,,X,,,,Maps var-var to literal keys that were the values in the previous array. This is a read.
5,CakePHP,lib/Cake/Model/Datasource/DboSource.php,1771,Y,N,N,,X,,,,"One of three literals in the surrounding array, mapping to local vars."
6,CakePHP,lib/Cake/Model/Datasource/DboSource.php,1772,Y,Y,N,,X,,,,Assigns string back into var-var-based array (one of the three literals).
7,CakePHP,lib/Cake/Model/Datasource/DboSource.php,1772,Y,N,N,,X,,,,Read of the var-var.
8,CakePHP,lib/Cake/Model/Datasource/DboSource.php,1774,Y,Y,N,,X,,,,Assigns empty string into var-var-based array (one of the three literals).
9,CakePHP,lib/Cake/View/Helper/FormHelper.php,2239,Y,Y,N,,X,,,,"Name computed based on literals defined in array, part of a foreach."
10,CakePHP,lib/Cake/View/Helper/FormHelper.php,2240,Y,Y,N,,X,,,,"Name computed based on literals defined in array, part of a foreach."
11,CakePHP,lib/Cake/View/Helper/FormHelper.php,2250,Y,Y,N,,X,,,,"Name computed based on literals defined in array, part of a foreach."
12,CakePHP,lib/Cake/View/Helper/FormHelper.php,2251,Y,Y,N,,X,,,,"Name computed based on literals defined in array, part of a foreach."
13,CakePHP,lib/Cake/View/Helper/FormHelper.php,2258,Y,Y,N,,X,,,,"Name computed based on literals defined in array, part of a foreach."
14,CakePHP,lib/Cake/View/Helper/PaginatorHelper.php,468,Y,Y,N,,X,,,,Literals defined as keys in an array provide the var-var values.
15,CakePHP,lib/Cake/Model/Datasource/Database/Postgres.php,877,Y,N,N,,X,,,,One of two literals defined in an array in the foreach.
16,CakePHP,lib/Cake/Model/Datasource/Database/Postgres.php,878,Y,Y,N,,X,,,,One of two literals defined in an array in the foreach.
17,CakePHP,lib/Cake/Model/Datasource/Database/Postgres.php,878,Y,N,N,,X,,,,One of two literals defined in an array in the foreach.
18,CakePHP,lib/Cake/Model/Datasource/Database/Sqlserver.php,531,Y,N,N,,X,,,,One of two literals defined in an array in the foreach.
19,CakePHP,lib/Cake/Model/Datasource/Database/Sqlserver.php,532,Y,Y,N,,X,,,,One of two literals defined in an array in the foreach.
20,CakePHP,lib/Cake/Model/Datasource/Database/Sqlserver.php,532,Y,N,N,,X,,,,One of two literals defined in an array in the foreach.
21,CodeIgniter,system/core/Input.php,255,Y,Y,N,,X,,,,Names given directly in array in foreach loop.
22,CodeIgniter,system/core/Input.php,581,N,N,Y,,,,,,"Names are stored in superglobal arrays. This maps the name to the related global. Note: This is related to register_globals, and now should be effective a no-op (or else it does the wrong thing). Legacy."
23,CodeIgniter,system/core/Input.php,582,N,Y,N,,,,,,"This sets the global mapped above to NULL. Note: This is related to register_globals, and now should be effective a no-op (or else it does the wrong thing). Legacy."
24,CodeIgniter,system/core/Input.php,591,N,N,Y,,,,,,"Names are stored in superglobal arrays. This maps the name to the related global. Note: This is related to register_globals, and now should be effective a no-op (or else it does the wrong thing). Legacy."
25,CodeIgniter,system/core/Input.php,592,N,Y,N,,,,,,"This sets the global mapped above to NULL. Note: This is related to register_globals, and now should be effective a no-op (or else it does the wrong thing). Legacy."
26,CodeIgniter,system/core/Loader.php,746,Y,Y,N,,X,,,,Names given directly in array in foreach loop.
27,CodeIgniter,system/libraries/Trackback.php,76,Y,Y,N,,X,X,,,Names given directly in array in foreach loop. Specific name given in case.
28,CodeIgniter,system/libraries/Trackback.php,78,Y,Y,N,,X,X,,,Names given directly in array in foreach loop. Specific name given in case.
29,CodeIgniter,system/libraries/Trackback.php,80,Y,Y,N,,X,X,,,Names given directly in array in foreach loop. Specific name given in case.
30,CodeIgniter,system/libraries/Trackback.php,82,Y,Y,N,,X,X,,,Names given directly in array in foreach loop.
31,CodeIgniter,system/libraries/Trackback.php,91,Y,Y,N,,X,,X,,Names given directly in array in foreach loop. Specific name given in condition.
32,CodeIgniter,system/libraries/Trackback.php,91,Y,N,N,,X,,X,,Names given directly in array in foreach loop. Specific name given in condition.
33,CodeIgniter,system/libraries/Trackback.php,95,Y,Y,N,,X,,X,,Names given directly in array in foreach loop. Specific name given in condition.
34,CodeIgniter,system/libraries/Trackback.php,95,Y,N,N,,X,,X,,Names given directly in array in foreach loop. Specific name given in condition.
35,CodeIgniter,system/libraries/Trackback.php,99,Y,Y,N,,X,,X,,Names given directly in array in foreach loop. Specific name given in condition.
36,CodeIgniter,system/libraries/Trackback.php,99,Y,N,N,,X,,X,,Names given directly in array in foreach loop. Specific name given in condition.
37,CodeIgniter,system/helpers/captcha_helper.php,50,Y,N,N,,X,,,,Names given directly in array in foreach loop.
38,CodeIgniter,system/helpers/captcha_helper.php,50,Y,N,N,,X,,,,Names given directly in array in foreach loop.
39,CodeIgniter,system/helpers/captcha_helper.php,52,Y,Y,N,,X,,,,Names given directly in array in foreach loop.
40,CodeIgniter,system/helpers/captcha_helper.php,57,Y,Y,N,,X,,,,Names given directly in array in foreach loop.
41,Drupal,includes/common.inc,7162,Y,Y,N,,X,,,,Names given directly in array in foreach expression that surrounds the use and assignment.
42,Gallery,system/core/Kohana.php,185,N,N,Y,,,,,,"Maps elements of $GLOBALS to vv in turn, creating an alias using the global keyword. Related to register globals."
43,Gallery,system/core/Kohana.php,186,N,Y,N,,,,,,Sets this mapped variable to null. Related to register_globals.
44,Gallery,system/core/Kohana.php,189,N,N,N,,,,,,Clears out global entry. Related to register_globals.
45,Gallery,system/helpers/cookie.php,37,Y,N,N,,X,,,,Names given directly in array in foreach loop. This is a read of the variable.
46,Gallery,system/helpers/cookie.php,39,Y,Y,N,,X,,,,Names given directly in array in foreach loop. This is an assignment.
47,Gallery,system/helpers/date.php,328,N,N,N,,,,,,"Check to see if var is set. Takes a comma-separated list of possible var names, but these all appear to be local names (fact that it comes from outside makes it non-local though)."
48,Gallery,system/helpers/date.php,331,N,N,N,,,,,,"Read of the value. For how names are provided, see prior item."
49,Joomla,libraries/joomla/cache/controller/callback.php,83,N,N,Y,,,,,,"Used as part of a callback mechanism, mapping to a global. A code comment says this will go away in the future."
50,Joomla,libraries/joomla/cache/controller/callback.php,84,N,N,N,,,,,,"Used as part of a callback mechanism, mapping to a global. A code comment says this will go away in the future."
51,Kohana,modules/codebench/classes/bench/datespan.php,96,N,N,N,,,,,,"Check to see if var is set. Takes a comma-separated list of possible var names, but these all appear to be local names (fact that it comes from outside makes it non-local though)."
52,Kohana,modules/codebench/classes/bench/datespan.php,99,N,N,N,,,,,,"Read of the value. For how names are provided, see prior item."
53,Kohana,modules/unittest/classes/kohana/unittest/helpers.php,110,Y,N,Y,,,,X,,Maps one of superglobal names using global statement.
54,Kohana,modules/unittest/classes/kohana/unittest/helpers.php,114,Y,N,N,,,,X,,Reads superglobal value through var-var.
55,Kohana,modules/unittest/classes/kohana/unittest/helpers.php,118,Y,Y,N,,,,X,,Assigns new value to superglobal through var-var.
56,Kohana,modules/userguide/vendor/markdown/markdown.php,1222,Y,Y,N,,,,X,,"Either strong or em, set above in the code."
57,Kohana,modules/userguide/vendor/markdown/markdown.php,1236,Y,Y,N,,,,X,,"Either strong or em, set above in the code."
