Product,Version,ReleaseDate,RequiredPHPVersion,Comments
PEAR,0.9,4/13/02,4.0,Version required is undocumented
PEAR,1,12/27/02,4.0,Version required is undocumented
PEAR,1.0.1,1/10/03,4.0,Version required is undocumented
PEAR,1.1,5/10/03,4.0,Version required is undocumented
PEAR,1.2,8/13/03,4.0,Version required is undocumented
PEAR,1.2.1,8/15/03,4.0,Version required is undocumented
PEAR,1.3,2/20/04,4.1,
PEAR,1.3.1,4/6/04,4.2,
PEAR,1.3.3,10/28/04,4.2,
PEAR,1.3.4,1/1/05,4.2,
PEAR,1.3.5,2/18/05,4.2,
PEAR,1.3.6,8/18/05,4.2,
PEAR,1.4.0,9/18/05,4.2,
PEAR,1.4.1,9/25/05,4.2,
PEAR,1.4.2,10/8/05,4.2,
PEAR,1.4.3,11/3/05,4.2,
PEAR,1.4.4,11/4/05,4.2,
PEAR,1.4.5,11/21/05,4.2,
PEAR,1.4.6,1/6/06,4.2,
PEAR,1.4.7,2/27/06,4.2,
PEAR,1.4.8,3/5/06,4.2,
PEAR,1.4.9,3/29/06,4.2,
PEAR,1.4.10,7/18/06,4.2,
PEAR,1.4.11,8/16/06,4.2,
PEAR,1.5.0,1/23/07,4.3,
PEAR,1.5.1,3/5/07,4.3,
PEAR,1.5.2,4/8/07,4.3,
PEAR,1.5.3,4/22/07,4.3,
PEAR,1.5.4,5/8/07,4.3,
PEAR,1.6.0,6/7/07,4.3,
PEAR,1.6.1,6/23/07,4.3,
PEAR,1.6.2,9/9/07,4.3,
PEAR,1.7.0,1/31/08,4.3,
PEAR,1.7.1,2/3/08,4.3,
PEAR,1.7.2,5/17/08,4.3,
PEAR,1.8.0,4/10/09,4.4,
PEAR,1.8.1,4/15/09,4.4,
PEAR,1.9.0,9/3/09,4.4,
PEAR,1.9.1,5/26/10,4.4,
PEAR,1.9.2,2/28/11,4.4,
PEAR,1.9.3,6/4/11,4.4,
PEAR,1.9.4,7/7/11,4.4,
PEAR,1.9.5,7/12/14,4.4,
Smarty,2.6.26,6/18/09,4.0.6,
Smarty,3.0.9,9/16/11,5.2,"Required PHP version inferred based on documentation for latest version, but not actually listed anywhere that I can find."
Smarty,3.1.0,9/16/11,5.2,"Required PHP version inferred based on documentation for latest version, but not actually listed anywhere that I can find."
Smarty,3.1.1,9/23/11,5.2,"Required PHP version inferred based on documentation for latest version, but not actually listed anywhere that I can find."
Smarty,3.1.2,10/3/11,5.2,"Required PHP version inferred based on documentation for latest version, but not actually listed anywhere that I can find."
Smarty,3.1.3,10/7/11,5.2,"Required PHP version inferred based on documentation for latest version, but not actually listed anywhere that I can find."
Smarty,3.1.4,10/19/11,5.2,"Required PHP version inferred based on documentation for latest version, but not actually listed anywhere that I can find."
Smarty,3.1.5,11/14/11,5.2,"Required PHP version inferred based on documentation for latest version, but not actually listed anywhere that I can find."
Smarty,3.1.6,12/1/11,5.2,"Required PHP version inferred based on documentation for latest version, but not actually listed anywhere that I can find."
Smarty,3.1.7,12/19/11,5.2,"Required PHP version inferred based on documentation for latest version, but not actually listed anywhere that I can find."
Smarty,3.1.8,2/20/12,5.2,"Required PHP version inferred based on documentation for latest version, but not actually listed anywhere that I can find."
Smarty,3.1.9,6/8/12,5.2,"Required PHP version inferred based on documentation for latest version, but not actually listed anywhere that I can find."
Smarty,3.1.10,6/9/12,5.2,"Required PHP version inferred based on documentation for latest version, but not actually listed anywhere that I can find."
Smarty,3.1.11,6/30/12,5.2,
Smarty,3.1.12,9/25/12,5.2,
Smarty,3.1.16,12/17/13,5.2,
Smarty,3.1.21,10/18/2014,5.2,
Moodle,2.3,6/25/12,5.3.2,
Moodle,2.2.3,5/14/12,5.3.2,
Moodle,2.1.6,5/14/12,5.3.2,
Moodle,1.9.18,5/14/12,4.3,
Moodle,2.0.9,5/14/12,5.2.8,
Moodle,1.8.14,12/3/10,4.3,
Moodle,1.7.7,1/28/09,4.3,
Moodle,1.6.9,1/28/09,4.3,
Moodle,2.3.2,9/10/12,5.3.2,
Moodle,2.6,11/18/13,5.3.3,
Moodle,2.8.5,3/10/15,5.4.4,
ZendFramework,1.0.0,6/30/07,5.1.4,
ZendFramework,1.0.1,7/30/07,5.1.4,
ZendFramework,1.0.2,9/25/07,5.1.4,
ZendFramework,1.0.3,11/30/07,5.1.4,
ZendFramework,1.0.4,2/26/08,5.1.4,
ZendFramework,1.5.0,3/17/08,5.1.4,
ZendFramework,1.5.1,3/25/08,5.1.4,
ZendFramework,1.5.2,5/15/08,5.1.4,
ZendFramework,1.5.3,7/28/08,5.1.4,
ZendFramework,1.6.0,9/2/08,5.1.4,
ZendFramework,1.6.1,9/15/08,5.1.4,
ZendFramework,1.6.2,10/13/08,5.1.4,
ZendFramework,1.7.0,11/17/08,5.1.4,
ZendFramework,1.7.1,12/1/08,5.1.4,
ZendFramework,1.7.2,12/23/08,5.1.4,
ZendFramework,1.7.3,1/19/09,5.1.4,
ZendFramework,1.7.4,2/2/09,5.1.4,
ZendFramework,1.7.5,2/16/09,5.1.4,
ZendFramework,1.7.6,3/2/09,5.1.4,
ZendFramework,1.7.7,3/16/09,5.1.4,
ZendFramework,1.7.8,3/30/09,5.2.4,
ZendFramework,1.7.9,1/11/10,5.2.4,
ZendFramework,1.8.0,4/30/09,5.2.4,
ZendFramework,1.8.1,5/12/09,5.2.4,
ZendFramework,1.8.2,5/27/09,5.2.4,
ZendFramework,1.8.3,6/9/09,5.2.4,
ZendFramework,1.8.4,6/23/09,5.2.4,
ZendFramework,1.8.5,1/11/10,5.2.4,
ZendFramework,1.9.0,7/31/09,5.2.4,
ZendFramework,1.9.1,8/11/09,5.2.4,
ZendFramework,1.9.2,8/25/09,5.2.4,
ZendFramework,1.9.3,9/22/09,5.2.4,
ZendFramework,1.9.4,10/13/09,5.2.4,
ZendFramework,1.9.5,10/27/09,5.2.4,
ZendFramework,1.9.6,11/24/09,5.2.4,
