product,version,array,fetch array dim,fetch class const,assign,assign with operation: bitwise and,assign with operation: bitwise or,assign with operation: bitwise xor,assign with operation: concat,assign with operation: div,assign with operation: minus,assign with operation: mod,assign with operation: mul,assign with operation: plus,assign with operation: right shift,assign with operation: left shift,list assign,ref assign,binary operation: bitwise and,binary operation: bitwise or,binary operation: bitwise xor,binary operation: concat,binary operation: div,binary operation: minus,binary operation: mod,binary operation: mul,binary operation: plus,binary operation: right shift,binary operation: left shift,binary operation: boolean and,binary operation: boolean or,binary operation: gt,binary operation: geq,binary operation: logical and,binary operation: logical or,binary operation: logical xor,binary operation: not equal,binary operation: not identical,binary operation: lt,binary operation: leq,binary operation: equal,binary operation: identical,unary operation: boolean not,unary operation: bitwise not,unary operation: post dec,unary operation: pre dec,unary operation: post inc,unary operation: pre inc,unary operation: unary plus,unary operation: unary minus,new,class const,cast to int,cast to bool,cast to float,cast to string,cast to array,cast to object,cast to unset,clone,closure,fetch const,empty,suppress,eval,exit,call,method call,static call,include,instanceOf,isSet,print,property fetch,shell exec,ternary,fetch static property,scalar,var
CakePHP,1.2.0-0,16756,11385,0,17311,0,0,0,762,0,0,0,0,17,0,0,139,429,1,5,1,6268,33,205,51,70,200,0,0,1193,513,251,56,0,1,0,253,408,249,55,690,894,1798,0,21,3,244,6,4,178,768,0,9,13,3,1,75,0,0,2,0,9763,932,92,6,33,10346,16576,4601,130,0,1213,8,14306,0,33,0,90088,73970
CakePHP,1.2.1-0,16906,11432,0,17421,0,0,0,762,0,0,0,0,17,0,0,138,431,1,5,1,6278,33,205,51,70,200,0,0,1194,516,251,56,0,1,0,254,407,249,55,691,896,1797,0,21,3,244,6,4,178,777,0,9,13,3,1,75,0,0,2,0,9799,939,90,6,33,10357,16702,4632,130,0,1206,8,14470,0,33,0,90641,74436
CakePHP,1.2.2-0,17267,11555,0,17825,0,0,0,767,0,0,0,0,21,0,0,137,436,1,5,1,6490,33,206,51,69,201,0,0,1194,513,251,57,0,1,0,257,407,249,55,713,883,1809,0,21,3,244,6,4,181,830,0,10,13,11,1,77,0,0,2,0,10053,943,96,6,33,10516,17197,4760,135,0,1213,8,14908,0,33,0,92291,75876
CakePHP,1.2.3-0,17384,11634,0,18028,0,0,0,769,0,0,0,0,22,0,0,137,438,1,5,1,6584,33,206,51,69,201,0,0,1199,514,251,58,0,1,0,253,409,249,55,717,887,1816,0,21,3,244,6,4,181,868,0,10,13,11,1,77,0,0,2,0,10152,945,97,6,33,10595,17390,4866,138,0,1215,8,15156,0,33,0,92987,76589
CakePHP,1.2.4-0,21357,12310,0,19882,0,0,0,816,0,0,0,0,32,0,0,137,453,6,5,1,6669,33,210,51,70,221,0,0,1209,524,251,64,0,1,1,260,415,253,58,751,894,1839,0,21,3,245,7,4,224,1086,0,10,13,13,1,75,0,0,2,0,10622,957,95,6,33,10673,19274,5039,153,0,1239,8,16154,0,33,0,111932,82211
CakePHP,1.2.5-0,21581,12342,0,20019,0,0,0,816,0,0,0,0,32,0,0,137,455,10,5,1,6751,34,210,51,72,222,0,0,1216,527,252,64,0,1,1,260,414,253,59,751,897,1855,4,21,3,245,7,4,224,1105,0,10,13,13,1,75,0,0,2,0,10740,965,95,6,33,10719,19414,5063,154,0,1244,8,16361,0,33,0,112828,82642
CakePHP,1.2.6-0,21805,12415,0,20213,0,0,0,813,0,0,0,0,32,0,0,136,465,10,5,1,6879,34,209,51,72,225,0,0,1214,530,246,70,0,1,1,258,412,247,59,743,904,1878,4,21,3,240,7,4,227,1129,0,11,12,13,4,77,0,0,2,0,10877,989,99,6,33,10756,19636,5118,154,0,1249,8,16601,0,33,0,113947,83288
CakePHP,1.2.7-0,21963,12489,0,20344,0,0,0,812,0,0,0,0,33,0,0,137,472,10,5,1,6935,34,209,51,72,226,0,0,1219,533,246,70,0,1,1,258,415,248,60,748,906,1891,4,21,3,241,7,4,226,1143,0,12,12,13,4,77,0,0,2,0,10950,1000,101,6,33,10796,19807,5157,154,0,1258,8,16688,0,33,0,114602,83800
CakePHP,1.2.8-0,22049,12544,0,20436,0,0,0,813,0,0,0,0,33,0,0,137,474,10,5,1,6941,34,209,51,72,226,0,0,1229,535,246,70,0,1,1,262,415,248,60,747,911,1896,4,21,3,241,7,4,226,1153,0,12,12,13,4,77,0,0,2,0,10995,1002,102,6,33,10812,19891,5176,154,0,1266,8,16735,0,33,0,115019,84098
CakePHP,1.2.9-0,22182,12586,0,20588,0,0,0,814,0,0,0,0,33,0,0,137,476,10,5,1,6956,34,209,51,72,226,0,0,1229,537,249,70,0,1,1,261,415,249,59,747,911,1900,4,21,3,241,7,4,226,1159,0,12,12,13,4,78,0,0,2,0,11018,1005,102,6,33,10817,20081,5195,154,0,1266,8,16809,0,33,0,115512,84627
