product,version,class consts with variable class name,assignments into variable-variables,assignments w/ops into variable-variables,list assignments into variable-variables,ref assignments into variable-variables,object creation with variable class name,calls of variable function names,calls of variable method names,calls of static methods with variable names,calls of static methods with variable targets,includes with non-literal paths,fetches of properties with variable names,fetches of static properties with variable names,fetches of static properties with variable targets,uses of variable-variables (including the above),definitions of overloads: set,definitions of overloads: get,definitions of overloads: isset,definitions of overloads: unset,definitions of overloads: call,definitions of overloads: callStatic,var-args support functions,break with non-literal argument,continue with non-literal argument
CakePHP,1.2.0-0,0,14,0,0,1,71,7,53,3,0,130,376,0,0,34,2,2,0,0,5,0,39,0,0
CakePHP,1.2.1-0,0,14,0,0,1,78,7,53,3,0,130,377,0,0,34,2,2,0,0,5,0,39,0,0
CakePHP,1.2.2-0,0,14,0,0,1,80,7,53,3,0,135,378,0,0,34,2,2,0,0,5,0,39,0,0
CakePHP,1.2.3-0,0,14,0,0,1,80,7,53,3,0,138,378,0,0,34,2,2,0,0,5,0,39,0,0
CakePHP,1.2.4-0,0,14,0,0,1,80,7,53,3,0,153,380,0,0,34,2,2,0,0,5,0,39,0,0
CakePHP,1.2.5-0,0,14,0,0,1,80,7,53,3,0,154,380,0,0,34,2,2,0,0,5,0,39,0,0
CakePHP,1.2.6-0,0,14,0,0,1,80,6,53,3,0,154,383,0,0,34,2,2,0,0,5,0,39,0,0
CakePHP,1.2.7-0,0,14,0,0,1,80,6,55,3,0,154,388,0,0,34,2,2,0,0,5,0,39,0,0
CakePHP,1.2.8-0,0,14,0,0,1,80,6,55,3,0,154,387,0,0,34,2,2,0,0,5,0,39,0,0
CakePHP,1.2.9-0,0,14,0,0,1,80,6,55,3,0,154,387,0,0,34,2,2,0,0,5,0,39,0,0
CakePHP,1.2.10-0,0,14,0,0,1,80,6,55,3,0,154,388,0,0,34,2,2,0,0,5,0,39,0,0
CakePHP,1.2.11-0,0,14,0,0,1,80,6,55,3,0,154,388,0,0,34,2,2,0,0,5,0,39,0,0
CakePHP,1.3.0-0,0,15,0,0,1,86,1,29,3,0,204,422,0,0,39,2,2,0,0,4,0,38,0,0
CakePHP,1.3.1-0,0,15,0,0,1,86,1,29,3,0,204,419,0,0,39,2,2,0,0,4,0,38,0,0
CakePHP,1.3.2-0,0,15,0,0,1,86,1,29,3,0,204,420,0,0,39,2,2,0,0,4,0,38,0,0
CakePHP,1.3.3-0,0,15,0,0,1,86,1,29,3,0,204,419,0,0,39,2,2,0,0,4,0,38,0,0
CakePHP,1.3.4-0,0,15,0,0,1,86,1,29,3,0,204,419,0,0,39,2,2,0,0,4,0,38,0,0
CakePHP,1.3.5-0,0,15,0,0,1,86,1,29,3,0,204,419,0,0,39,2,2,0,0,4,0,38,0,0
CakePHP,1.3.6-0,0,15,0,0,1,86,1,29,3,0,204,419,0,0,39,2,2,0,0,4,0,38,0,0
CakePHP,1.3.7-0,0,15,0,0,1,86,1,29,3,0,204,420,0,0,39,2,2,0,0,4,0,38,0,0
CakePHP,1.3.8-0,0,15,0,0,1,87,1,29,3,0,204,421,0,0,39,2,2,0,0,4,0,38,0,0
CakePHP,1.3.9-0,0,15,0,0,1,87,1,29,3,0,205,421,0,0,39,2,2,0,0,4,0,38,0,0
CakePHP,1.3.10-0,0,15,0,0,1,87,1,29,3,0,205,421,0,0,39,2,2,0,0,4,0,38,0,0
CakePHP,1.3.11-0,0,15,0,0,1,87,1,29,3,0,205,421,0,0,39,2,2,0,0,4,0,38,0,0
CakePHP,1.3.12-0,0,15,0,0,1,87,1,29,3,0,205,420,0,0,39,2,2,0,0,4,0,38,0,0
CakePHP,1.3.13-0,0,15,0,0,1,87,1,29,3,0,205,422,0,0,39,2,2,0,0,4,0,38,0,0
CakePHP,1.3.14-0,0,15,0,0,1,88,1,29,3,0,205,422,0,0,39,2,2,0,0,4,0,38,0,0
CakePHP,1.3.15-0,0,15,0,0,1,88,1,29,3,0,205,422,0,0,39,2,2,0,0,4,0,38,0,0
CakePHP,2.0.0-0,0,14,0,0,0,91,1,20,3,0,125,343,12,0,32,2,8,3,0,7,0,35,0,0
CakePHP,2.0.1-0,0,14,0,0,0,91,1,20,3,0,124,343,12,0,32,2,8,3,0,7,0,35,0,0
CakePHP,2.0.2-0,0,14,0,0,0,91,1,20,3,0,124,344,12,0,32,2,8,3,0,7,0,35,0,0
CakePHP,2.0.3-0,0,11,0,0,0,91,1,20,3,0,124,342,12,0,24,2,8,3,0,7,0,35,0,0
