Product,Version,LoC,Files
CakePHP,1.2.0-0,87466,381
CakePHP,1.2.1-0,87902,382
CakePHP,1.2.2-0,89461,391
CakePHP,1.2.3-0,90203,394
CakePHP,1.2.4-0,98986,404
CakePHP,1.2.5-0,99707,407
CakePHP,1.2.6-0,100788,417
CakePHP,1.2.7-0,101415,417
CakePHP,1.2.8-0,101756,417
CakePHP,1.2.9-0,102298,417
CakePHP,1.2.10-0,102555,417
CakePHP,1.2.11-0,102908,417
CakePHP,1.2.12,102979,417
CakePHP,1.3.0-0,110894,456
CakePHP,1.3.1-0,110871,456
CakePHP,1.3.2-0,110926,456
CakePHP,1.3.3-0,111511,458
CakePHP,1.3.4-0,112227,458
CakePHP,1.3.5-0,112713,459
CakePHP,1.3.6-0,112888,458
CakePHP,1.3.7-0,113278,458
CakePHP,1.3.8-0,113538,458
CakePHP,1.3.9-0,114017,458
CakePHP,1.3.10-0,114056,458
CakePHP,1.3.11-0,114163,459
CakePHP,1.3.12-0,114514,460
CakePHP,1.3.13-0,114695,460
CakePHP,1.3.14-0,115132,462
CakePHP,1.3.15-0,115266,462
CakePHP,1.3.16,115413,462
CakePHP,1.3.17,115418,462
CakePHP,2.0.0-0,120173,567
CakePHP,2.0.1-0,120751,570
CakePHP,2.0.2-0,120818,570
CakePHP,2.0.3-0,121074,570
CakePHP,2.0.4-0,121567,570
CakePHP,2.0.5-0,122334,577
CakePHP,2.0.6-0,122672,577
CakePHP,2.1.0-0,130020,617
CakePHP,2.1.1-0,129748,617
CakePHP,2.1.2-0,130025,618
CakePHP,2.1.3-0,130468,618
CakePHP,2.1.4-0,130767,620
CakePHP,2.2.0-0,137903,640
CakePHP,2.2.1,138092,640
CakePHP,2.2.2,138670,640
CakePHP,2.2.3,138817,641
CakePHP,2.2.4,139508,640
CakePHP,2.2.5,139775,640
CakePHP,2.2.6,139892,640
CakePHP,2.2.7,139893,640
CakePHP,2.2.8,139904,640
CakePHP,2.2.9,139941,640
CakePHP,2.3.0,142791,647
CakePHP,2.3.1,143113,639
CakePHP,2.3.2,143355,639
CakePHP,2.3.3,143462,639
CakePHP,2.3.4,143518,639
CakePHP,2.3.5,143692,641
CakePHP,2.3.6,144073,644
CakePHP,2.3.7,144232,644
CakePHP,2.3.8,144286,644
CakePHP,2.3.9,144653,645
CakePHP,2.3.10,144839,645
CakePHP,2.4.0,147129,661
CakePHP,2.4.1,147383,661
CakePHP,2.4.4,148338,661
CakePHP,2.6.3,155337,671
CodeIgniter,1.0b,9054,72
CodeIgniter,1.1b,9455,74
CodeIgniter,1.2,9757,75
CodeIgniter,1.3,10938,88
CodeIgniter,1.3.1,11343,93
CodeIgniter,1.3.2,11363,93
CodeIgniter,1.3.3,11413,93
CodeIgniter,1.4.1,12275,99
CodeIgniter,1.5.1,15155,115
CodeIgniter,1.5.2,15189,115
CodeIgniter,1.5.3,15260,115
CodeIgniter,1.5.4,15450,115
CodeIgniter,1.6.0,17965,125
CodeIgniter,1.6.1,18232,126
CodeIgniter,1.6.2,18870,128
CodeIgniter,1.6.3,19063,131
CodeIgniter,1.7.0,20009,134
CodeIgniter,1.7.1,20290,135
CodeIgniter,1.7.2,20885,136
CodeIgniter,1.7.3,20885,136
CodeIgniter,2.0.0,21838,132
CodeIgniter,2.0.1,22019,133
CodeIgniter,2.0.2,22063,132
CodeIgniter,2.0.3,22747,136
CodeIgniter,2.1.2,24386,147
CodeIgniter,2.1.3,24382,147
CodeIgniter,2.1.4,24382,147
CodeIgniter,3.0.0,29169,198
DoctrineORM,1.2.0,65675,1018
DoctrineORM,1.2.1,66176,1022
DoctrineORM,1.2.2,67585,1032
DoctrineORM,1.2.3,31016,328
DoctrineORM,1.2.4,31016,328
DoctrineORM,2.0.0,28927,332
DoctrineORM,2.0.1,29073,332
DoctrineORM,2.0.2,29094,332
DoctrineORM,2.0.3,29076,332
DoctrineORM,2.0.4,29128,332
DoctrineORM,2.0.5,29454,338
DoctrineORM,2.0.6,29525,339
DoctrineORM,2.0.7,29588,339
DoctrineORM,2.1.0,34355,379
DoctrineORM,2.1.1,34424,379
DoctrineORM,2.1.2,34490,379
DoctrineORM,2.1.3,34626,380
DoctrineORM,2.1.4,34624,380
DoctrineORM,2.1.5,34650,380
DoctrineORM,2.1.6,34700,380
DoctrineORM,2.1.7,34746,380
DoctrineORM,2.2.0,40640,501
DoctrineORM,2.2.1,40705,501
DoctrineORM,2.2.2,40873,502
DoctrineORM,2.2.3,40941,502
DoctrineORM,2.3.0,48919,608
DoctrineORM,2.3.1,49006,608
DoctrineORM,2.3.2,49025,608
DoctrineORM,2.3.3,49129,610
DoctrineORM,2.4.7,64174,765
Drupal,4.0.0,2693,18
Drupal,4.1.0,3049,19
Drupal,4.2.0,3622,18
Drupal,4.3.0,3586,19
Drupal,4.3.1,3586,19
Drupal,4.3.2,3589,19
Drupal,4.4.0,4279,21
Drupal,4.4.1,4297,21
Drupal,4.4.2,4293,21
Drupal,4.4.3,4337,21
Drupal,4.5.0,7242,23
Drupal,4.5.1,7251,23
Drupal,4.5.2,7303,23
Drupal,4.5.3,7303,23
Drupal,4.5.4,7270,23
Drupal,4.5.5,6839,23
Drupal,4.5.6,6823,23
Drupal,4.5.7,6821,23
Drupal,4.5.8,6821,23
Drupal,4.6.0,7831,23
Drupal,4.6.1,7880,23
Drupal,4.6.2,7852,23
Drupal,4.6.3,7429,23
Drupal,4.6.4,7414,23
Drupal,4.6.5,7417,23
Drupal,4.6.6,7421,23
Drupal,4.6.7,7425,23
Drupal,4.6.8,7426,23
Drupal,4.6.9,7426,23
Drupal,4.6.10,7453,23
Drupal,4.6.11,7462,23
Drupal,4.7.0,3593,24
Drupal,4.7.1,3641,24
Drupal,4.7.2,3641,24
Drupal,4.7.3,3627,24
Drupal,4.7.4,3650,24
Drupal,4.7.5,3682,24
Drupal,4.7.6,3691,24
Drupal,4.7.7,3691,24
Drupal,4.7.8,3692,24
Drupal,4.7.9,3692,24
Drupal,4.7.10,3692,24
Drupal,4.7.11,3692,24
Drupal,5.0,3329,32
Drupal,5.1,3329,32
Drupal,5.2,3331,32
Drupal,5.3,3337,32
Drupal,5.4,3337,32
Drupal,5.5,3337,32
Drupal,5.6,3341,32
Drupal,5.7,3341,32
Drupal,5.8,3345,32
Drupal,5.9,3345,32
Drupal,5.10,3345,32
Drupal,5.11,3352,32
Drupal,5.12,3352,32
Drupal,5.13,3357,32
Drupal,5.14,3357,32
Drupal,5.15,3357,32
Drupal,5.16,3371,32
Drupal,5.17,3374,32
Drupal,5.18,3374,32
Drupal,5.19,3375,32
Drupal,5.20,3386,32
Drupal,5.21,3386,32
Drupal,5.22,3394,32
Drupal,5.23,3394,32
Drupal,6.0,5692,69
Drupal,6.1,5685,69
Drupal,6.2,5685,69
Drupal,6.3,5691,69
Drupal,6.4,5711,69
Drupal,6.5,5719,69
Drupal,6.6,5719,69
Drupal,6.7,5729,69
Drupal,6.8,5729,69
Drupal,6.9,5733,69
Drupal,6.10,5733,69
Drupal,6.11,5731,69
Drupal,6.12,5725,69
Drupal,6.13,5729,69
Drupal,6.14,5743,69
Drupal,6.15,5745,69
Drupal,6.16,5757,69
Drupal,6.17,5753,69
Drupal,6.18,5753,69
Drupal,6.19,5779,69
Drupal,6.20,5798,69
Drupal,6.21,5798,69
Drupal,6.22,5799,69
Drupal,6.23,5799,69
Drupal,6.24,5821,69
Drupal,6.25,5821,69
Drupal,6.26,5821,69
Drupal,7.0,42246,111
Drupal,7.1,42246,111
Drupal,7.2,42612,112
Drupal,7.3,42612,112
Drupal,7.4,42662,115
Drupal,7.5,42662,115
Drupal,7.6,42778,115
Drupal,7.7,42778,115
Drupal,7.8,42970,116
Drupal,7.9,43082,116
Drupal,7.10,43155,117
Drupal,7.11,43088,116
Drupal,7.12,43260,119
Drupal,7.13,43260,119
Drupal,7.14,43415,123
Drupal,7.15,43466,123
Drupal,7.16,43475,123
Drupal,7.17,43739,124
Drupal,7.18,43739,124
Drupal,7.19,43739,124
Drupal,7.20,43739,124
Drupal,7.21,43739,124
Drupal,7.22,44052,129
Drupal,7.23,44093,129
Drupal,7.24,44080,129
Drupal,7.35,44049,130
Gallery,1.5.9,40468,220
Gallery,1.5.10,40528,220
Gallery,2.2.6,84571,564
Gallery,2.3,90288,590
Gallery,2.3.1,90329,590
Gallery,2.3.2,90425,591
Gallery,3.0,35991,487
Gallery,3.0.1,37166,497
Gallery,3.0.2,37614,499
Gallery,3.0.3,37972,503
Gallery,3.0.4,38123,505
Gallery,3.0.9,39087,505
Joomla,1.5.26,155432,1043
Joomla,2.5.4,152240,1481
Joomla,2.5.7,153396,1492
Joomla,3.0.1,164850,1587
Joomla,3.1.5,189280,1857
Joomla,3.2.1,221292,2118
Joomla,3.4.1,247667,2335
Kohana,3.2,27230,432
Kohana,3.3.1,29260,469
Kohana,3.3.3.1,30210,483
Magento,1.0,274726,3587
Magento,1.0.19700,277183,3615
Magento,1.0.19870.4,277394,3615
Magento,1.0.19870.6,277763,3619
Magento,1.0.19870.1,277294,3615
Magento,1.0.19870,277223,3615
Magento,1.0.19870.2,277394,3615
Magento,1.1.1,298265,4018
Magento,1.1.2,298210,4019
Magento,1.1.3,298312,4019
Magento,1.1.4,298373,4019
Magento,1.1.5,300784,4051
Magento,1.1.6,300873,4050
Magento,1.1.7,307051,4151
Magento,1.1.8,307147,4153
Magento,1.2.0.1,341826,4580
Magento,1.2.0,341820,4580
Magento,1.2.0.3,341843,4580
Magento,1.2.0.2,341829,4580
Magento,1.2.1.2,343780,4609
Magento,1.2.1.1,343777,4609
Magento,1.2.1,343633,4605
Magento,1.3.0,352047,4680
Magento,1.3.1,364361,4758
Magento,1.3.1.1,364580,4763
Magento,1.3.2.3,370449,4792
Magento,1.3.2,369272,4788
Magento,1.3.2.4,370461,4792
Magento,1.3.2.1,369239,4788
Magento,1.3.2.2,370440,4792
Magento,1.3.3.0,372255,4818
Magento,1.4.0.0,444259,5617
Magento,1.4.1.0,469472,5826
Magento,1.4.1.1,469666,5830
Magento,1.4.2.0,516155,6365
Magento,1.5.0.1,520922,6787
Magento,1.5.1.0,525995,6825
Magento,1.6.0.0,589735,7542
Magento,1.6.1.0,593669,7591
Magento,1.6.2.0,594296,7603
Magento,1.7.0.1,621351,7965
Magento,1.7.0.2,621684,7967
Magento,1.7.0.0,620883,7958
Magento,1.8.0.0,637002,8127
Magento,1.8.1.0,633164,8086
Magento,1.9.1.0,652357,8248
MediaWiki,1.1.0,44935,137
MediaWiki,1.2.0,59484,179
MediaWiki,1.2.1,59542,179
MediaWiki,1.2.2,59543,179
MediaWiki,1.2.3,59551,179
MediaWiki,1.2.4,60585,181
MediaWiki,1.2.5,60624,181
MediaWiki,1.2.6,62822,183
MediaWiki,1.3.0,79909,269
MediaWiki,1.3.1,79862,269
MediaWiki,1.3.2,79958,269
MediaWiki,1.3.3,80817,270
MediaWiki,1.3.4,82513,271
MediaWiki,1.3.5,82508,271
MediaWiki,1.3.6,82544,271
MediaWiki,1.3.7,82544,271
MediaWiki,1.3.8,83894,274
MediaWiki,1.3.9,83971,274
MediaWiki,1.3.10,84020,274
MediaWiki,1.3.11,84613,276
MediaWiki,1.3.12,84603,276
MediaWiki,1.3.13,84615,276
MediaWiki,1.3.14,84146,274
MediaWiki,1.3.15,84619,276
MediaWiki,1.3.16,84147,274
MediaWiki,1.3.17,84152,274
MediaWiki,1.3.18,84626,276
MediaWiki,1.4.0,95948,284
MediaWiki,1.4.1,96647,296
MediaWiki,1.4.2,96656,296
MediaWiki,1.4.3,96918,297
MediaWiki,1.4.4,97007,298
MediaWiki,1.4.5,97338,300
MediaWiki,1.4.6,99213,302
MediaWiki,1.4.7,99203,302
MediaWiki,1.4.8,99209,302
MediaWiki,1.4.9,99219,302
MediaWiki,1.4.10,99218,302
MediaWiki,1.4.11,99223,302
MediaWiki,1.4.12,99224,302
MediaWiki,1.4.13,99226,302
MediaWiki,1.4.14,99227,302
MediaWiki,1.4.15,99229,302
MediaWiki,1.5.0,111636,347
MediaWiki,1.5.1,111773,348
MediaWiki,1.5.2,111625,346
MediaWiki,1.5.3,111421,344
MediaWiki,1.5.4,111464,349
MediaWiki,1.5.5,111521,351
MediaWiki,1.5.6,111552,351
MediaWiki,1.5.7,111825,357
MediaWiki,1.5.8,110763,355
MediaWiki,1.6.0,136255,544
MediaWiki,1.6.1,136316,544
MediaWiki,1.6.2,136338,544
MediaWiki,1.6.3,136337,544
MediaWiki,1.6.4,138174,546
MediaWiki,1.6.5,138172,546
MediaWiki,1.6.6,138502,546
MediaWiki,1.6.7,138495,546
MediaWiki,1.6.8,138411,545
MediaWiki,1.6.9,138419,545
MediaWiki,1.6.10,138434,545
MediaWiki,1.6.11,138452,545
MediaWiki,1.6.12,138471,545
MediaWiki,1.7.0,160963,585
MediaWiki,1.7.1,160963,585
MediaWiki,1.7.2,160958,585
MediaWiki,1.7.3,160965,585
MediaWiki,1.8.0,170244,549
MediaWiki,1.8.1,170285,549
MediaWiki,1.8.2,170286,549
MediaWiki,1.8.3,170293,549
MediaWiki,1.8.4,170307,549
MediaWiki,1.8.5,170308,549
MediaWiki,1.9.0,189396,586
MediaWiki,1.9.1,189402,586
MediaWiki,1.9.2,189410,586
MediaWiki,1.9.3,189415,586
MediaWiki,1.9.4,189420,586
MediaWiki,1.9.5,189430,586
MediaWiki,1.9.6,189430,586
MediaWiki,1.10.0,215799,633
MediaWiki,1.10.1,215890,633
MediaWiki,1.10.2,215891,633
MediaWiki,1.10.3,215901,633
MediaWiki,1.10.4,215901,633
MediaWiki,1.11.0,235647,697
MediaWiki,1.11.1,235657,697
MediaWiki,1.11.2,235664,697
MediaWiki,1.12.0,347256,851
MediaWiki,1.12.1,390486,851
MediaWiki,1.12.2,400420,852
MediaWiki,1.12.3,400420,852
MediaWiki,1.12.4,403487,852
MediaWiki,1.13.0,425988,879
MediaWiki,1.13.1,429299,880
MediaWiki,1.13.2,433347,880
MediaWiki,1.13.3,440940,881
MediaWiki,1.13.4,449048,887
MediaWiki,1.13.5,455886,887
MediaWiki,1.14.0,489061,933
MediaWiki,1.14.1,499239,933
MediaWiki,1.15.0,523982,954
MediaWiki,1.15.1,523985,954
MediaWiki,1.15.2,554051,954
MediaWiki,1.15.3,555162,954
MediaWiki,1.15.4,557373,954
MediaWiki,1.15.5,560504,954
MediaWiki,1.16.0,617368,1016
MediaWiki,1.16.1,617409,1016
MediaWiki,1.16.2,637572,1016
MediaWiki,1.16.3,643018,1016
MediaWiki,1.16.4,643018,1016
MediaWiki,1.16.5,645283,1016
MediaWiki,1.17.0,689177,1085
MediaWiki,1.17.1,702453,1085
MediaWiki,1.17.2,713432,1085
MediaWiki,1.17.3,715127,1086
MediaWiki,1.17.4,715132,1086
MediaWiki,1.17.5,715180,1086
MediaWiki,1.18.0,802442,1358
MediaWiki,1.18.1,813947,1358
MediaWiki,1.18.2,816238,1359
MediaWiki,1.18.3,820360,1363
MediaWiki,1.18.4,820408,1363
MediaWiki,1.18.5,819332,1363
MediaWiki,1.18.6,835626,1363
MediaWiki,1.19.0,838900,1460
MediaWiki,1.19.1,839719,1460
MediaWiki,1.19.2,855517,1460
MediaWiki,1.19.3,863630,1460
MediaWiki,1.19.4,870195,1460
MediaWiki,1.19.5,870218,1460
MediaWiki,1.19.6,871682,1460
MediaWiki,1.19.7,871735,1460
MediaWiki,1.19.8,871792,1460
MediaWiki,1.19.9,879406,1460
MediaWiki,1.19.10,880131,1460
MediaWiki,1.19.11,880137,1460
MediaWiki,1.19.12,882595,1463
MediaWiki,1.19.13,862174,1229
MediaWiki,1.19.14,880238,1460
MediaWiki,1.19.15,862190,1229
MediaWiki,1.19.16,862190,1229
MediaWiki,1.19.17,862206,1229
MediaWiki,1.19.18,862217,1229
MediaWiki,1.19.19,862296,1229
MediaWiki,1.19.20,862290,1229
MediaWiki,1.20.0,869992,1259
MediaWiki,1.20.1,894724,1522
MediaWiki,1.20.2,894762,1522
MediaWiki,1.20.3,902763,1522
MediaWiki,1.20.4,902770,1522
MediaWiki,1.20.5,906694,1527
MediaWiki,1.20.6,906772,1527
MediaWiki,1.20.7,909326,1540
MediaWiki,1.20.8,917668,1540
MediaWiki,1.21.0,975611,1565
MediaWiki,1.21.1,975611,1565
MediaWiki,1.21.2,1004042,1867
MediaWiki,1.21.3,1013860,1869
MediaWiki,1.21.4,1014769,1869
MediaWiki,1.21.5,1014790,1869
MediaWiki,1.21.6,1015668,1869
MediaWiki,1.21.7,984377,1561
MediaWiki,1.21.8,1014888,1869
MediaWiki,1.21.9,984392,1561
MediaWiki,1.21.10,984393,1561
MediaWiki,1.21.11,984409,1561
MediaWiki,1.22.0,1030091,1849
MediaWiki,1.22.1,1029872,1845
MediaWiki,1.22.2,1029913,1845
MediaWiki,1.22.3,1031311,1847
MediaWiki,1.22.4,997534,1566
MediaWiki,1.22.5,1029482,1843
MediaWiki,1.22.6,997583,1566
MediaWiki,1.22.7,997589,1566
MediaWiki,1.22.8,997605,1566
MediaWiki,1.22.9,997620,1566
MediaWiki,1.22.10,997623,1566
MediaWiki,1.22.11,997702,1566
MediaWiki,1.22.12,997696,1566
MediaWiki,1.23.0,315827,1622
MediaWiki,1.23.1,315848,1622
MediaWiki,1.23.2,314149,1623
MediaWiki,1.23.3,314168,1623
MediaWiki,1.23.4,314252,1623
MediaWiki,1.23.5,314246,1623
MediaWiki,1.24.1,319677,1695
Moodle,1.6.9,257533,1356
Moodle,1.7.7,312527,1724
Moodle,1.8.14,345180,1923
Moodle,1.9.18,413647,2398
Moodle,2.0.9,635584,4737
Moodle,2.1.6,701794,5039
Moodle,2.2.3,712278,5168
Moodle,2.3,729465,5366
Moodle,2.3.2,735637,5390
Moodle,2.6,852324,6553
Moodle,2.8.5,1028257,7515
PEAR,0.9,3460,18
PEAR,1.0,6521,22
PEAR,1.0.1,6659,22
PEAR,1.1,7056,23
PEAR,1.2,7276,24
PEAR,1.2.1,7276,24
PEAR,1.3,8157,25
PEAR,1.3.1,8550,26
PEAR,1.3.3,8974,27
PEAR,1.3.4,9281,28
PEAR,1.3.5,9411,28
PEAR,1.3.6,9414,28
PEAR,1.4.0,29787,79
PEAR,1.4.1,30354,81
PEAR,1.4.2,30482,81
PEAR,1.4.3,29753,71
PEAR,1.4.4,29764,71
PEAR,1.4.5,29785,71
PEAR,1.4.6,29884,71
PEAR,1.4.7,30061,71
PEAR,1.4.8,30199,71
PEAR,1.4.9,30205,71
PEAR,1.4.10,30313,71
PEAR,1.4.11,30315,71
PEAR,1.5.0,30931,71
PEAR,1.5.1,31341,71
PEAR,1.5.2,31345,71
PEAR,1.5.3,31389,71
PEAR,1.5.4,31416,71
PEAR,1.6.0,32087,72
PEAR,1.6.1,32162,72
