product,version,break,class def,const,continue,declare,do,echo,expression statement (chain rule),for,foreach,function def,global,goto,halt compiler,if,inline HTML,interface def,trait def,label,namespace,return,static,switch,throw,try/catch,unset,use,while def
CakePHP,1.2.0-0,424,649,0,62,0,3,129,31668,153,751,63,1,0,0,5210,34,0,0,0,0,2872,25,106,0,0,368,0,98
CakePHP,1.2.1-0,423,656,0,63,0,3,129,31865,153,749,63,1,0,0,5210,34,0,0,0,0,2875,25,106,0,0,371,0,98
CakePHP,1.2.2-0,423,668,0,63,0,3,130,32775,153,754,63,1,0,0,5229,34,0,0,0,0,2878,25,106,0,0,376,0,98
CakePHP,1.2.3-0,424,674,0,63,0,3,130,33209,153,758,63,1,0,0,5243,34,0,0,0,0,2887,25,106,0,0,383,0,98
CakePHP,1.2.4-0,441,698,0,65,0,3,140,36371,155,771,63,1,0,0,5302,34,0,0,0,0,2911,25,107,0,0,392,0,98
CakePHP,1.2.5-0,441,705,0,66,0,3,140,36653,155,772,63,1,0,0,5315,34,0,0,0,0,2912,25,107,0,0,395,0,98
CakePHP,1.2.6-0,435,713,0,68,0,3,139,37070,149,773,63,1,0,0,5321,34,0,0,0,0,2924,25,106,0,0,400,0,98
CakePHP,1.2.7-0,436,714,0,68,0,3,140,37348,150,774,63,1,0,0,5340,34,0,0,0,0,2933,25,106,0,0,402,0,98
CakePHP,1.2.8-0,435,714,0,69,0,3,140,37513,150,774,63,1,0,0,5350,34,0,0,0,0,2935,25,106,0,0,402,0,98
CakePHP,1.2.9-0,435,715,0,70,0,3,140,37785,150,775,63,1,0,0,5353,34,0,0,0,0,2941,25,106,0,0,402,0,98
CakePHP,1.2.10-0,435,715,0,70,0,3,140,37895,150,775,63,1,0,0,5357,34,0,0,0,0,2942,27,106,0,0,402,0,98
CakePHP,1.2.11-0,436,715,0,68,0,3,140,38009,150,775,63,1,0,0,5361,34,0,0,0,0,2947,27,107,0,0,403,0,98
CakePHP,1.3.0-0,433,768,0,87,0,3,144,42610,134,776,54,0,0,0,5366,34,0,0,0,0,3077,29,98,0,0,466,0,89
CakePHP,1.3.1-0,429,769,0,91,0,3,142,42829,134,776,54,0,0,0,5364,34,0,0,0,0,3080,29,97,0,0,470,0,91
CakePHP,1.3.2-0,429,769,0,91,0,3,142,42855,134,776,54,0,0,0,5365,34,0,0,0,0,3080,29,97,0,0,470,0,91
CakePHP,1.3.3-0,425,774,0,90,0,3,142,43184,135,777,54,0,0,0,5382,34,0,0,0,0,3107,29,96,0,0,474,0,91
CakePHP,1.3.4-0,426,774,0,90,0,3,142,43437,134,779,54,0,0,0,5398,34,0,0,0,0,3115,29,96,0,0,473,0,91
CakePHP,1.3.5-0,426,777,0,92,0,3,142,43657,134,777,54,0,0,0,5408,34,0,0,0,0,3127,29,96,0,0,470,0,91
CakePHP,1.3.6-0,426,778,0,96,0,3,142,43719,134,778,54,0,0,0,5416,34,0,0,0,0,3131,29,96,0,0,470,0,91
CakePHP,1.3.7-0,426,778,0,96,0,3,142,43970,134,780,54,0,0,0,5425,34,0,0,0,0,3135,30,96,0,0,472,0,91
CakePHP,1.3.8-0,426,778,0,97,0,3,142,44048,134,780,54,0,0,0,5434,34,0,0,0,0,3140,30,96,0,0,473,0,91
CakePHP,1.3.9-0,427,779,0,95,0,3,142,44220,135,784,54,0,0,0,5436,34,0,0,0,0,3140,30,96,0,0,473,0,91
CakePHP,1.3.10-0,427,779,0,95,0,3,146,44243,135,784,54,0,0,0,5438,38,0,0,0,0,3140,30,96,0,0,473,0,91
CakePHP,1.3.11-0,427,782,0,95,0,3,146,44268,135,784,54,0,0,0,5441,39,0,0,0,0,3143,30,96,0,0,473,0,91
CakePHP,1.3.12-0,428,782,0,95,0,3,146,44432,135,784,54,0,0,0,5452,39,0,0,0,0,3149,30,97,0,0,472,0,92
CakePHP,1.3.13-0,429,782,0,95,0,3,146,44509,135,784,54,0,0,0,5455,39,0,0,0,0,3151,30,97,0,0,472,0,92
CakePHP,1.3.14-0,429,786,0,96,0,3,146,44668,134,785,54,0,0,0,5474,39,0,0,0,0,3156,30,97,0,0,473,0,92
CakePHP,1.3.15-0,429,786,0,97,0,3,146,44719,134,788,54,0,0,0,5480,39,0,0,0,0,3159,30,97,0,0,476,0,92
CakePHP,2.0.0-0,305,900,0,123,0,3,101,45794,103,810,35,0,0,0,5107,40,5,0,0,0,3122,11,76,139,35,484,0,82
CakePHP,2.0.1-0,305,901,0,124,0,3,99,46070,104,811,35,0,0,0,5121,38,5,0,0,0,3129,11,76,140,35,485,0,84
CakePHP,2.0.2-0,305,901,0,124,0,3,99,46105,104,812,35,0,0,0,5124,38,5,0,0,0,3129,11,76,140,35,485,0,84
CakePHP,2.0.3-0,305,901,0,126,0,3,101,46020,103,814,35,0,0,0,5140,38,5,0,0,0,3132,11,76,140,37,486,0,83
CakePHP,2.0.4-0,307,902,0,126,0,3,101,46245,103,815,35,0,0,0,5154,38,5,0,0,0,3135,11,77,140,37,487,0,84
CakePHP,2.0.5-0,308,908,0,132,0,3,101,46542,104,818,35,0,0,0,5169,38,6,0,0,0,3143,11,77,141,38,490,0,84
CakePHP,2.0.6-0,309,908,0,134,0,3,101,46695,103,821,35,0,0,0,5187,38,6,0,0,0,3147,11,77,142,38,495,0,85
CakePHP,2.1.0-0,316,969,0,136,0,3,107,49548,103,859,35,0,0,0,5399,39,7,0,0,0,3341,13,81,158,40,529,0,88
CakePHP,2.1.1-0,316,969,0,137,0,3,107,48917,103,861,35,0,0,0,5417,39,7,0,0,0,3338,13,81,158,40,530,0,88
CakePHP,2.1.2-0,316,972,0,137,0,3,107,49058,103,859,35,0,0,0,5427,39,7,0,0,0,3347,14,81,158,40,529,0,89
CakePHP,2.1.3-0,315,972,0,136,0,3,107,49128,103,860,35,0,0,0,5433,39,7,0,0,0,3353,14,81,158,40,534,0,89
CakePHP,2.1.4-0,316,975,0,136,0,3,107,49251,103,862,35,0,0,0,5437,39,7,0,0,0,3356,14,81,157,42,534,0,89
CakePHP,2.2.0-0,315,1004,0,134,0,3,107,52318,103,902,35,0,0,0,5701,38,7,0,0,0,3604,16,81,168,43,559,0,93
CodeIgniter,1.0b,113,32,0,12,0,0,64,2429,56,92,67,22,0,0,861,68,0,0,0,0,575,0,27,0,0,20,0,32
CodeIgniter,1.1b,113,33,0,12,0,0,63,2593,58,93,68,19,0,0,890,67,0,0,0,0,584,0,27,0,0,22,0,36
CodeIgniter,1.2,113,33,0,12,0,0,64,2607,58,95,72,11,0,0,882,69,0,0,0,0,583,0,27,0,0,23,0,37
CodeIgniter,1.3,110,51,0,12,0,0,70,2787,60,110,75,10,0,0,972,74,0,0,0,0,766,1,26,0,0,24,0,38
CodeIgniter,1.3.1,110,52,0,12,0,0,72,2894,60,117,77,12,0,0,1017,77,0,0,0,0,812,1,26,0,0,24,0,38
CodeIgniter,1.3.2,110,52,0,13,0,0,72,2897,60,117,77,12,0,0,1021,77,0,0,0,0,813,1,26,0,0,24,0,38
CodeIgniter,1.3.3,110,52,0,13,0,0,72,2905,61,118,77,12,0,0,1029,77,0,0,0,0,818,1,26,0,0,24,0,38
CodeIgniter,1.4.1,106,54,0,13,0,0,73,3081,62,128,87,4,0,0,1125,77,0,0,0,0,904,4,25,0,0,26,0,39
CodeIgniter,1.5.1,110,67,0,26,0,0,76,3614,68,177,100,8,0,0,1413,77,0,0,0,0,1256,7,25,0,0,25,0,44
CodeIgniter,1.5.2,110,67,0,25,0,0,76,3623,68,178,100,8,0,0,1416,77,0,0,0,0,1257,7,25,0,0,26,0,44
CodeIgniter,1.5.3,110,66,0,25,0,0,76,3586,69,176,100,8,0,0,1419,77,0,0,0,0,1260,7,25,0,0,26,0,44
CodeIgniter,1.5.4,110,67,0,25,0,1,76,3691,68,185,100,8,0,0,1438,77,0,0,0,0,1269,7,25,0,0,27,0,44
CodeIgniter,1.6.0,114,75,0,21,0,1,95,4258,68,227,115,9,0,0,1801,96,0,0,0,0,1423,6,25,0,0,27,0,44
CodeIgniter,1.6.1,114,75,0,21,0,1,95,4321,68,232,116,7,0,0,1836,96,0,0,0,0,1425,6,25,0,0,30,0,44
CodeIgniter,1.6.2,122,75,0,23,0,1,93,4470,67,240,128,9,0,0,1929,96,0,0,0,0,1477,7,26,0,0,32,0,47
CodeIgniter,1.6.3,122,75,0,23,0,2,93,4535,67,235,131,10,0,0,1944,96,0,0,0,0,1483,8,26,0,0,33,0,47
CodeIgniter,1.7.0,116,76,0,28,0,2,93,4658,67,240,140,8,0,0,2089,96,0,0,0,0,1596,9,26,0,0,39,0,41
