FeatureCategory,Feature,FirstSupportedIn
Stmt,const,4.0.4
Stmt,goto,5.3.0
Stmt,interfaceDef,5.0.0
Stmt,traitDef,5.4.0
Stmt,label,5.3.0
Stmt,namespace,5.3.0
Stmt,throw,5.0.0
Stmt,tryCatch,5.0.0
Stmt,use,5.3.0
Expr,fetchClassConst,5.0.0
Expr,clone,5.0.0
Expr,closure,5.3.0
Expr,staticCall,5.0.0
Expr,instanceOf,5.0.0
Expr,staticPropertyFetch,5.0.0
Scalar,classConstant,4.3.0
Scalar,dirConstant,5.3.0
Scalar,funcConstant,4.3.0
Scalar,traitConstant,5.4.0
Scalar,methodConstant,5.0.0
Scalar,namespaceConstant,5.3.0
