Product,PlainText,Description
CakePHP,CakePHP,Application Framework
CodeIgniter,CodeIgniter,Application Framework
DoctrineORM,Doctrine ORM,Object-Relational Mapping
Drupal,Drupal,CMS
Gallery,Gallery,Photo Management
Joomla,Joomla,CMS
Kohana,Kohana,Application Framework
Magento,Magento,Online Retail
MediaWiki,MediaWiki,Wiki
Moodle,Moodle,Online Learning
osCommerce,osCommerce,Online Retail
PEAR,PEAR,Component Framework
phpBB,phpBB,Bulletin Board
phpMyAdmin,phpMyAdmin,Database Administration
SilverStripe,SilverStripe,CMS
Smarty,Smarty,Template Engine
SquirrelMail,Squirrel Mail,Webmail
Symfony,Symfony,Application Framework
WordPress,WordPress,Blog
ZendFramework,The Zend Framework,Application Framework
CDash,CDash,Software Testing Server
DokuWiki,DokuWiki,Wiki
EZPublish,EZPublish,CMS
Kajona,Kajona,CMS
