product,version,class consts with variable class name,assignments into variable-variables,assignments w/ops into variable-variables,list assignments into variable-variables,ref assignments into variable-variables,object creation with variable class name,calls of variable function names,calls of variable method names,calls of static methods with variable names,calls of static methods with variable targets,includes with non-literal paths,fetches of properties with variable names,fetches of static properties with variable names,fetches of static properties with variable targets,uses of variable-variables (including the above),definitions of overloads: set,definitions of overloads: get,definitions of overloads: isset,definitions of overloads: unset,definitions of overloads: call,definitions of overloads: callStatic,var-args support functions,break with non-literal argument,continue with non-literal argument
osCommerce,2.3.1,0,8,0,0,0,19,2,0,0,0,539,7,0,0,89,0,0,0,0,0,0,0,0,0
ZendFramework,2.2.4,33,2,0,0,0,90,241,78,1,6,45,95,0,4,4,22,35,17,17,38,2,81,0,0
ZendFramework,1.11.12,0,2,0,0,0,249,10,204,2,0,350,473,2,0,7,55,75,37,24,81,0,123,0,0
Symfony,2.0.12,3,0,0,0,0,57,37,22,1,1,95,98,4,0,0,2,1,0,0,4,0,43,0,0
CodeIgniter,2.1.4,0,13,0,0,0,14,6,17,0,0,69,59,0,0,20,1,5,0,0,1,0,12,0,0
CodeIgniter,2.1.2,0,13,0,0,0,14,6,17,0,0,69,59,0,0,20,1,5,0,0,1,0,12,0,0
SilverStripe,2.4.7,0,1,0,0,0,173,2,102,0,0,56,152,0,0,3,3,5,1,0,9,0,48,0,0
WordPress,1.5.1.2,0,59,0,0,0,0,1,1,0,0,86,7,0,0,80,0,0,0,0,0,0,12,0,0
WordPress,3.5.2,0,16,0,0,0,14,32,5,0,0,400,128,0,0,37,4,6,5,2,2,1,83,0,0
WordPress,2.7.1,0,13,0,0,0,4,24,2,0,0,202,70,0,0,38,0,0,0,0,0,0,64,0,0
WordPress,1.5.1.1,0,59,0,0,0,0,1,1,0,0,86,7,0,0,80,0,0,0,0,0,0,12,0,0
WordPress,3.5.1,0,16,0,0,0,14,32,5,0,0,400,128,0,0,37,4,6,5,2,2,1,83,0,0
WordPress,2.9,0,12,0,0,0,101,38,6,0,0,236,92,0,0,39,1,0,0,0,0,0,75,0,0
WordPress,3.3.2,0,14,0,0,0,106,33,4,0,0,346,122,0,0,35,2,2,1,0,0,0,85,0,0
WordPress,2.3.3,0,9,0,0,0,1,8,1,0,0,153,42,0,0,16,0,0,0,0,0,0,33,0,0
WordPress,2.5.1,0,11,0,0,0,2,11,1,0,0,179,46,0,0,28,0,0,0,0,0,0,62,0,0
WordPress,2.8,0,12,0,0,0,101,28,6,0,0,230,80,0,0,34,1,0,0,0,0,0,70,0,0
