product,version,break,class def,const,continue,declare,do,echo,expression statement (chain rule),for,foreach,function def,global,goto,halt compiler,if,inline HTML,interface def,trait def,label,namespace,return,static,switch,throw,try/catch,unset,use,while
osCommerce,2.3.1,636,161,0,15,0,9,2107,15699,338,101,332,417,0,0,4074,2327,0,0,0,0,1392,10,138,0,0,40,0,443
ZendFramework,2.2.4,844,1683,0,294,0,44,113,27080,172,1543,1,0,144,0,11311,3,317,0,57,2004,11764,30,242,2562,164,350,3416,110
ZendFramework,1.11.12,2817,4370,0,358,0,43,736,161979,463,3857,232,17,0,0,21078,122,126,0,0,3,17823,37,638,4048,2750,1206,0,289
Symfony,2.0.12,306,1850,0,217,0,18,118,24295,73,1904,62,2,0,0,7641,179,242,0,0,1715,7751,14,115,1516,171,173,3139,142
CodeIgniter,2.1.4,151,97,0,25,0,3,42,5523,72,335,143,11,0,0,2549,20,0,0,0,0,2069,15,30,0,1,46,0,43
CodeIgniter,2.1.2,150,97,0,25,0,3,42,5528,72,334,143,11,0,0,2548,20,0,0,0,0,2069,15,30,0,1,47,0,43
SilverStripe,2.4.7,782,598,0,157,0,11,361,53479,126,1376,40,136,0,0,7769,45,14,0,0,0,6137,15,127,251,42,185,0,152
WordPress,1.5.1.2,262,25,0,20,0,0,872,8480,80,283,566,333,0,0,2529,2200,0,0,0,0,1029,0,58,0,0,34,0,56
WordPress,3.5.2,1035,216,0,352,0,39,2845,38004,147,1483,2517,910,0,0,14169,6275,1,0,0,0,7288,87,241,30,26,428,0,256
WordPress,2.7.1,731,106,0,181,0,31,2287,24394,139,882,1603,684,0,0,8441,4322,0,0,0,0,3998,26,156,0,0,222,0,208
WordPress,1.5.1.1,262,25,0,20,0,0,872,8478,80,283,566,333,0,0,2529,2200,0,0,0,0,1029,0,58,0,0,34,0,56
WordPress,3.5.1,1035,216,0,352,0,39,2837,37966,147,1483,2516,910,0,0,14162,6242,1,0,0,0,7286,87,241,30,26,428,0,256
WordPress,2.9,993,174,0,227,0,37,2456,30760,161,1125,1829,758,0,0,10728,4731,0,0,0,0,5683,50,211,0,0,302,0,246
WordPress,3.3.2,1026,193,0,315,0,39,2793,36101,140,1376,2373,944,0,0,13172,6026,0,0,0,0,6665,67,223,24,11,406,0,262
WordPress,2.3.3,459,66,0,87,0,9,1629,15805,91,583,1087,625,0,0,5041,3064,0,0,0,0,2293,0,109,0,0,110,0,119
WordPress,2.5.1,561,78,0,131,0,20,1737,19924,114,710,1302,610,0,0,6716,3288,0,0,0,0,3299,10,124,0,0,153,0,162
WordPress,2.8,880,167,0,209,0,36,2407,29091,154,1060,1714,724,0,0,10064,4550,0,0,0,0,5322,45,185,0,0,263,0,234
WordPress,3.1.4,1018,189,0,288,0,38,2646,34777,151,1341,2282,935,0,0,12675,5256,0,0,0,0,6490,64,217,0,0,397,0,251
WordPress,1.5.2,262,25,0,21,0,0,873,8525,80,286,567,335,0,0,2540,2206,0,0,0,0,1031,0,58,0,0,36,0,56
WordPress,3.3.1,1025,193,0,314,0,38,2793,36071,140,1374,2372,944,0,0,13160,6024,0,0,0,0,6662,67,223,24,11,406,0,262
WordPress,2.3.2,459,66,0,87,0,9,1629,15799,91,583,1087,625,0,0,5039,3064,0,0,0,0,2291,0,109,0,0,110,0,119
WordPress,2.7,732,106,0,181,0,32,2290,24312,139,880,1598,684,0,0,8395,4322,0,0,0,0,3980,22,156,0,0,220,0,207
WordPress,3.1.3,1011,189,0,286,0,38,2646,34745,151,1340,2282,935,0,0,12659,5256,0,0,0,0,6489,64,216,0,0,390,0,251
WordPress,1.5.1,262,25,0,20,0,0,872,8487,81,282,566,333,0,0,2532,2200,0,0,0,0,1026,0,58,0,0,34,0,56
WordPress,2.1.3,362,53,0,63,0,2,1267,12578,76,453,886,515,0,0,3925,2663,0,0,0,0,1725,0,78,0,0,84,0,85
WordPress,2.6,630,96,0,158,0,29,1849,21310,132,777,1397,624,0,0,7200,3594,0,0,0,0,3527,13,134,0,0,169,0,206
WordPress,3.1.2,1011,189,0,284,0,38,2644,34726,151,1340,2278,936,0,0,12650,5258,0,0,0,0,6483,64,216,0,0,390,0,251
